businessDate,indexId,indexCode,indexName,isSubIndex,close,previousClose,change,perChange,high,low,fiftyTwoWeekHigh,fiftyTwoWeekLow,sector,baseYearMarketCapitalization,generatedTime
2026-08-26,57,SENSIND,Sensitive Index,0,451.66,457.68,-6.0,-1.31,457.74,450.0186,507.0,435.29,ALL,447841.1858,2026-08-26T15:20:05.223
2026-08-26,58,NEPSE,NEPSE Index,0,2558.35,2594.28,-35.92,-1.38,2592.1206,2546.9463,2960.4,2487.18,ALL,170555.0075,2026-08-26T15:20:05.223
2026-08-26,62,FLOATIND,Float Index,0,175.43,178.05,-2.61,-1.47,177.8329,174.6415,204.21,170.58,ALL,839190.1912,2026-08-26T15:20:05.227
2026-08-26,63,SENSFLTIND,Sensitive Float Index,0,152.51,154.61,-2.09,-1.35,154.6348,151.9175,173.41,147.61,ALL,527142.7323,2026-08-26T15:20:05.227
2026-08-26,51,BANKSUBIND,Banking SubIndex,1,1426.46,1437.12,-10.66,-0.74,,,,,Commercial Banks,77351.6855,2026-08-26T15:20:05.223
2026-08-26,52,HOTELIND,Hotels And Tourism Index,1,7123.35,7162.44,-39.09,-0.54,,,,,Hotels And Tourism,1997.6871,2026-08-26T15:20:05.223
2026-08-26,53,OTHERSIND,Others Index,1,1858.18,1885.34,-27.16,-1.44,,,,,Others,19544.8826,2026-08-26T15:20:05.223
2026-08-26,54,HYDPOWIND,HydroPower Index,1,3561.28,3665.61,-104.33,-2.84,,,,,Hydro Power,21317.6436,2026-08-26T15:20:05.223
2026-08-26,55,DEVBANKIND,Development Bank Index,1,5414.46,5460.4,-45.94,-0.84,,,,,Development Banks,3713.3472,2026-08-26T15:20:05.223
2026-08-26,56,MANPROCIND,Manufacturing And Processing,1,10233.82,10275.26,-41.44,-0.4,,,,,Manufacturing And Processing,3627.5391,2026-08-26T15:20:05.223
2026-08-26,59,NONLIFIND,Non Life Insurance,1,9935.59,10339.64,-404.05,-3.9,,,,,Non Life Insurance,1923.1267,2026-08-26T15:20:05.223
2026-08-26,60,FININD,Finance Index,1,2253.76,2278.99,-25.23,-1.1,,,,,Finance,3235.9835,2026-08-26T15:20:05.223
2026-08-26,61,TRDIND,Trading Index,1,3216.43,3217.98,-1.55,-0.04,,,,,Tradings,5613.7011,2026-08-26T15:20:05.223
2026-08-26,64,MICRFININD,Microfinance Index,1,4412.62,4453.32,-40.7,-0.91,,,,,Microfinance,7593.988,2026-08-26T15:20:05.223
2026-08-26,65,LIFINSIND,Life Insurance,1,11313.14,11488.27,-175.13,-1.52,,,,,Life Insurance,3069.8792,2026-08-26T15:20:05.223
2026-08-26,66,MUTUALIND,Mutual Fund,1,20.31,20.43,-0.12,-0.61,,,,,Mutual Fund,22268.487,2026-08-26T15:20:05.223
2026-08-26,67,INVIDX,Investment Index,1,93.8,95.04,-1.24,-1.31,,,,,Investment,315640.8816,2026-08-26T15:20:05.223
