businessDate,indexId,indexCode,indexName,isSubIndex,open,high,low,close,previousClose,change,perChange,fiftyTwoWeekHigh,fiftyTwoWeekLow,turnoverValue,turnoverVolume,totalTransaction,sector,baseYearMarketCapitalization
2026-08-31,57,SENSIND,Sensitive Index,0,450.66,451.19,443.88,444.43,451.11,-6.68,-1.48,507.0,435.29,1247661505.1,2989952,15367,ALL,447841.1858
2026-08-31,58,NEPSE,NEPSE Index,0,2555.06,2556.96,2508.49,2513.42,2557.31,-43.89,-1.71,2960.4,2487.17,3615744873.7,8122613,67292,ALL,170555.0075
2026-08-31,62,FLOATIND,Float Index,0,174.99,175.17,171.96,172.24,175.26,-3.02,-1.72,204.2,170.57,3615744873.7,8122613,67292,ALL,839190.1912
2026-08-31,63,SENSFLTIND,Sensitive Float Index,0,151.95,152.17,149.54,149.77,152.18,-2.41,-1.58,173.41,147.6,1247661505.1,2989952,15367,ALL,527142.7323
2026-08-31,51,BANKSUBIND,Banking SubIndex,1,1427.69,1431.49,1410.74,1414.12,1428.52,-14.4,-1.0,1567.1,1326.12,325176069.7,1126673,4894,Commercial Banks,77351.6855
2026-08-31,52,HOTELIND,Hotels And Tourism Index,1,7164.16,7164.16,6976.65,6989.28,7164.15,-174.87,-2.44,8457.99,5895.07,81733633.1,151572,1347,Hotels And Tourism,1997.6871
2026-08-31,53,OTHERSIND,Others Index,1,1838.23,1838.23,1769.08,1777.44,1838.22,-60.78,-3.3,2714.43,1777.44,116988489.5,184301,2187,Others,19544.8826
2026-08-31,54,HYDPOWIND,HydroPower Index,1,3528.01,3528.01,3419.8,3437.13,3541.49,-104.36,-2.94,4129.68,3147.74,1547412954.9,4417547,27951,Hydro Power,21317.6436
2026-08-31,55,DEVBANKIND,Development Bank Index,1,5438.05,5438.05,5365.9,5385.72,5438.36,-52.64,-0.96,6525.43,5236.74,103595387.4,210300,1549,Development Banks,3713.3472
2026-08-31,56,MANPROCIND,Manufacturing And Processing,1,10448.37,10525.94,10378.7,10485.66,10412.02,73.64,0.7,11881.08,6982.78,988947257.5,1229388,21283,Manufacturing And Processing,3627.5391
2026-08-31,59,NONLIFIND,Non Life Insurance,1,9719.18,9723.11,9223.07,9243.71,9733.77,-490.06,-5.03,12522.18,9243.71,98046736.3,202164,1612,Non Life Insurance,1923.1267
2026-08-31,60,FININD,Finance Index,1,2248.66,2264.31,2224.98,2236.65,2268.72,-32.07,-1.41,2705.17,2157.02,71709723.7,134670,950,Finance,3235.9835
2026-08-31,61,TRDIND,Trading Index,1,3216.55,3230.21,3139.48,3180.71,3216.55,-35.84,-1.11,4276.68,3180.71,4052551.9,933,45,Tradings,5613.7011
2026-08-31,64,MICRFININD,Microfinance Index,1,4411.68,4412.38,4342.63,4368.48,4418.01,-49.53,-1.12,5312.77,4368.48,107238682.2,110055,1955,Microfinance,7593.988
2026-08-31,65,LIFINSIND,Life Insurance,1,11273.23,11273.23,11047.12,11062.72,11285.03,-222.31,-1.97,13916.15,11062.72,86906545.7,191577,2280,Life Insurance,3069.8792
2026-08-31,66,MUTUALIND,Mutual Fund,1,19.68,19.69,19.45,19.49,19.68,-0.19,-1.0,22.33,19.49,10777750.3,1100771,557,Mutual Fund,22268.487
2026-08-31,67,INVIDX,Investment Index,1,94.01,94.35,92.77,92.82,93.94,-1.12,-1.19,113.77,92.82,83936841.8,163433,1239,Investment,315640.8816
