business_date,index_id,index_name,is_subindex,current_value,change,per_change,previous_close,close,high,low,fifty_two_week_high,fifty_two_week_low,generated_time
2026-08-26,57,Sensitive Index,0,451.66,-6.0,-1.31,451.6691,457.68,457.74,450.0186,507.0,435.29,2026-08-26T15:20:05.223
2026-08-26,58,NEPSE Index,0,2558.35,-35.92,-1.38,2558.3535,2594.28,2592.1206,2546.9463,2960.4,2487.18,2026-08-26T15:20:05.223
2026-08-26,62,Float Index,0,175.43,-2.61,-1.47,175.432,178.05,177.8329,174.6415,204.21,170.58,2026-08-26T15:20:05.227
2026-08-26,63,Sensitive Float Index,0,152.51,-2.09,-1.35,152.5111,154.61,154.6348,151.9175,173.41,147.61,2026-08-26T15:20:05.227
2026-08-26,51,Banking SubIndex,1,1426.46,-10.66,-0.74,,,,,,,
2026-08-26,52,Hotels And Tourism Index,1,7123.35,-39.09,-0.54,,,,,,,
2026-08-26,53,Others Index,1,1858.18,-27.16,-1.44,,,,,,,
2026-08-26,54,HydroPower Index,1,3561.28,-104.33,-2.84,,,,,,,
2026-08-26,55,Development Bank Index,1,5414.46,-45.94,-0.84,,,,,,,
2026-08-26,56,Manufacturing And Processing,1,10233.82,-41.44,-0.4,,,,,,,
2026-08-26,59,Non Life Insurance,1,9935.59,-404.05,-3.9,,,,,,,
2026-08-26,60,Finance Index,1,2253.76,-25.23,-1.1,,,,,,,
2026-08-26,61,Trading Index,1,3216.43,-1.55,-0.04,,,,,,,
2026-08-26,64,Microfinance Index,1,4412.62,-40.7,-0.91,,,,,,,
2026-08-26,65,Life Insurance,1,11313.14,-175.13,-1.52,,,,,,,
2026-08-26,66,Mutual Fund,1,20.31,-0.12,-0.61,,,,,,,
2026-08-26,67,Investment Index,1,93.8,-1.24,-1.31,,,,,,,
